Number of 1 || move to TowerNo : B from Tower No : A
 Number of 2 || move to TowerNo : E from Tower No : A
 Number of 1 || move to TowerNo : C from Tower No : B
 Number of 3 || move to TowerNo : D from Tower No : A
 Number of 1 || move to TowerNo : C from Tower No : E
 Number of 2 || move to TowerNo : B from Tower No : E
 Number of 1 || move to TowerNo : D from Tower No : C
 Number of 4 || move to TowerNo : C from Tower No : A
 Number of 1 || move to TowerNo : C from Tower No : D
 Number of 2 || move to TowerNo : B from Tower No : D
 Number of 1 || move to TowerNo : A from Tower No : C
 Number of 3 || move to TowerNo : E from Tower No : D
 Number of 1 || move to TowerNo : A from Tower No : B
 Number of 2 || move to TowerNo : C from Tower No : B
 Number of 1 || move to TowerNo : E from Tower No : A
 Number of 5 || move to TowerNo : B from Tower No : A
 Number of 1 || move to TowerNo : A from Tower No : C
 Number of 2 || move to TowerNo : B from Tower No : C
 Number of 1 || move to TowerNo : D from Tower No : A
 Number of 3 || move to TowerNo : E from Tower No : C
 Number of 1 || move to TowerNo : D from Tower No : B
 Number of 2 || move to TowerNo : A from Tower No : B
 Number of 1 || move to TowerNo : E from Tower No : D
 Number of 4 || move to TowerNo : D from Tower No : C
 Number of 1 || move to TowerNo : D from Tower No : E
 Number of 2 || move to TowerNo : A from Tower No : E
 Number of 1 || move to TowerNo : C from Tower No : D
 Number of 3 || move to TowerNo : B from Tower No : E
 Number of 1 || move to TowerNo : C from Tower No : A
 Number of 2 || move to TowerNo : D from Tower No : A
 Number of 1 || move to TowerNo : B from Tower No : C
